Company Name,Date of filing,Time of filing,Document Type,File Format,File Size
Aurania Resources Ltd.,Apr 22 2022,17:03:03 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,414 K
Aurania Resources Ltd.,Apr 22 2022,17:03:03 ET,Audited annual financial statements - English,PDF,728 K
Aurania Resources Ltd.,Apr 22 2022,17:03:03 ET,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,391 K
"Aurora Royalties Inc. (formerly, Amato Exploration Ltd.)",Apr 22 2022,17:25:22 ET,52-109FV2 - Certification of interim filings - CEO (E),PDF,87 K
"Aurora Royalties Inc. (formerly, Amato Exploration Ltd.)",Apr 22 2022,17:25:22 ET,52-109FV2 - Certification of interim filings - CFO (E),PDF,87 K
"Aurora Royalties Inc. (formerly, Amato Exploration Ltd.)",Apr 22 2022,17:22:59 ET,MD&A - English,PDF,304 K
"Aurora Royalties Inc. (formerly, Amato Exploration Ltd.)",Apr 22 2022,17:20:59 ET,Interim financial statements/report - English,PDF,235 K
Auxly Cannabis Group Inc.,Apr 22 2022,09:07:57 ET,Notice of the meeting and record date - English,PDF,314 K
Avante Logixx Inc.,Apr 22 2022,15:24:55 ET,Notice of the meeting and record date (amended) - English,PDF,542 K
AVINO SILVER & GOLD MINES LTD.,Apr 22 2022,13:43:43 ET,Notice of the meeting and record date (amended) - English,PDF,66 K
AVINO SILVER & GOLD MINES LTD.,Apr 22 2022,11:29:58 ET,Notice of the meeting and record date - English,PDF,315 K
Avricore Health Inc.,Apr 22 2022,21:36:29 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,21 K
Avricore Health Inc.,Apr 22 2022,21:36:29 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,21 K
Avricore Health Inc.,Apr 22 2022,21:31:22 ET,MD&A - English,PDF,209 K
Avricore Health Inc.,Apr 22 2022,21:27:54 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,99 K
Avricore Health Inc.,Apr 22 2022,21:27:54 ET,Audited annual financial statements - English,PDF,266 K
Bank of America Corporation,Apr 22 2022,17:50:09 ET,Material change report - English,PDF,238 K
Bank of Montreal,Apr 22 2022,19:27:40 ET,Consent letter of issuer's legal counsel,PDF,101 K
Bank of Montreal,Apr 22 2022,19:27:40 ET,Marketing materials - English,PDF,431 K
Bank of Montreal,Apr 22 2022,19:27:40 ET,Pricing supplement (specified derivative) - English,PDF,527 K
Bank of Montreal,Apr 22 2022,19:21:10 ET,Consent letter of issuer's legal counsel,PDF,101 K
Bank of Montreal,Apr 22 2022,19:21:10 ET,Marketing materials - English,PDF,434 K
Bank of Montreal,Apr 22 2022,19:21:10 ET,Pricing supplement (specified derivative) - English,PDF,530 K
Bank of Montreal,Apr 22 2022,18:24:54 ET,Consent letter of issuer's legal counsel,PDF,101 K
Bank of Montreal,Apr 22 2022,18:24:54 ET,Marketing materials - English,PDF,431 K
Bank of Montreal,Apr 22 2022,18:24:54 ET,Pricing supplement (specified derivative) - English,PDF,528 K
Bank of Montreal,Apr 22 2022,17:41:20 ET,Consent letter of issuer's legal counsel,PDF,101 K
Bank of Montreal,Apr 22 2022,17:41:20 ET,Marketing materials - English,PDF,418 K
Bank of Montreal,Apr 22 2022,17:41:20 ET,Pricing supplement (specified derivative) - English,PDF,577 K
Bank of Montreal,Apr 22 2022,17:33:02 ET,Consent letter of issuer's legal counsel,PDF,101 K
Bank of Montreal,Apr 22 2022,17:33:02 ET,Marketing materials - English,PDF,433 K
Bank of Montreal,Apr 22 2022,17:33:02 ET,Pricing supplement (specified derivative) - English,PDF,530 K
Bank of Montreal,Apr 22 2022,17:25:51 ET,Marketing materials - English,PDF,458 K
Bank of Montreal,Apr 22 2022,17:25:51 ET,Pricing supplement (specified derivative) - English,PDF,501 K
Bank of Montreal,Apr 22 2022,17:18:20 ET,Consent letter of issuer's legal counsel,PDF,100 K
Bank of Montreal,Apr 22 2022,17:18:20 ET,Marketing materials - English,PDF,413 K
Bank of Montreal,Apr 22 2022,17:18:20 ET,Pricing supplement (specified derivative) - English,PDF,619 K
Bank of Montreal,Apr 22 2022,17:08:26 ET,News release - English,PDF,73 K
Bank of Montreal,Apr 22 2022,17:08:26 ET,News release - French,PDF,119 K
Bank of Montreal,Apr 22 2022,16:50:20 ET,Consent letter of issuer's legal counsel,PDF,101 K
Bank of Montreal,Apr 22 2022,16:50:20 ET,Marketing materials - English,PDF,431 K
Bank of Montreal,Apr 22 2022,16:50:20 ET,Pricing supplement (specified derivative) - English,PDF,520 K
Bank of Montreal,Apr 22 2022,16:26:49 ET,Consent letter of issuer's legal counsel,PDF,101 K
Bank of Montreal,Apr 22 2022,16:26:49 ET,Marketing materials - English,PDF,405 K
Bank of Montreal,Apr 22 2022,16:26:49 ET,Pricing supplement (specified derivative) - English,PDF,548 K
Bank of Montreal,Apr 22 2022,15:30:15 ET,Consent letter of issuer's legal counsel,PDF,101 K
Bank of Montreal,Apr 22 2022,15:30:15 ET,Marketing materials - English,PDF,408 K
Bank of Montreal,Apr 22 2022,15:30:15 ET,Pricing supplement (specified derivative) - English,PDF,545 K
Bank of Montreal,Apr 22 2022,15:21:28 ET,Consent letter of issuer's legal counsel,PDF,101 K
Bank of Montreal,Apr 22 2022,15:21:28 ET,Marketing materials - English,PDF,410 K
Bank of Montreal,Apr 22 2022,15:21:28 ET,Pricing supplement (specified derivative) - English,PDF,553 K
Bank of Montreal,Apr 22 2022,15:09:59 ET,Consent letter of issuer's legal counsel,PDF,100 K
Bank of Montreal,Apr 22 2022,15:09:59 ET,Marketing materials - English,PDF,412 K
Bank of Montreal,Apr 22 2022,15:09:59 ET,Pricing supplement (specified derivative) - English,PDF,588 K
Bank of Montreal,Apr 22 2022,14:53:32 ET,Consent letter of issuer's legal counsel,PDF,101 K
Bank of Montreal,Apr 22 2022,14:53:32 ET,Marketing materials - English,PDF,411 K
Bank of Montreal,Apr 22 2022,14:53:32 ET,Pricing supplement (specified derivative) - English,PDF,712 K
Bank of Montreal,Apr 22 2022,14:42:39 ET,Consent letter of issuer's legal counsel,PDF,101 K
Bank of Montreal,Apr 22 2022,14:42:39 ET,Marketing materials - English,PDF,406 K
Bank of Montreal,Apr 22 2022,14:42:39 ET,Pricing supplement (specified derivative) - English,PDF,559 K
Bank of Montreal,Apr 21 2022,20:56:32 ET,Consent letter of issuer's legal counsel,PDF,101 K
Bank of Montreal,Apr 21 2022,20:56:32 ET,Marketing materials - English,PDF,432 K
Bank of Montreal,Apr 21 2022,20:56:32 ET,Marketing materials - French,PDF,662 K
Bank of Montreal,Apr 21 2022,20:56:32 ET,Pricing supplement (specified derivative) - English,PDF,531 K
Bank of Montreal,Apr 21 2022,20:56:32 ET,Pricing supplement (specified derivative) - French,PDF,864 K
Bank of Montreal,Apr 21 2022,19:52:15 ET,Consent letter of issuer's legal counsel,PDF,101 K
Bank of Montreal,Apr 21 2022,19:52:15 ET,Marketing materials - English,PDF,436 K
Bank of Montreal,Apr 21 2022,19:52:15 ET,Marketing materials - French,PDF,676 K
Bank of Montreal,Apr 21 2022,19:52:15 ET,Pricing supplement (specified derivative) - English,PDF,532 K
Bank of Montreal,Apr 21 2022,19:52:15 ET,Pricing supplement (specified derivative) - French,PDF,1003 K
Bank of Montreal,Apr 21 2022,19:36:38 ET,Consent letter of issuer's legal counsel,PDF,101 K
Bank of Montreal,Apr 21 2022,19:36:38 ET,Marketing materials - English,PDF,434 K
Bank of Montreal,Apr 21 2022,19:36:38 ET,Marketing materials - French,PDF,662 K
Bank of Montreal,Apr 21 2022,19:36:38 ET,Pricing supplement (specified derivative) - English,PDF,530 K
Bank of Montreal,Apr 21 2022,19:36:38 ET,Pricing supplement (specified derivative) - French,PDF,819 K
Bank of Montreal,Apr 21 2022,19:28:21 ET,Consent letter of issuer's legal counsel,PDF,100 K
Bank of Montreal,Apr 21 2022,19:28:21 ET,Marketing materials - English,PDF,467 K
Bank of Montreal,Apr 21 2022,19:28:21 ET,Marketing materials - French,PDF,754 K
Bank of Montreal,Apr 21 2022,19:28:21 ET,Pricing supplement (specified derivative) - English,PDF,683 K
Bank of Montreal,Apr 21 2022,19:28:21 ET,Pricing supplement (specified derivative) - French,PDF,975 K
Bank of Montreal,Apr 21 2022,19:21:08 ET,Consent letter of issuer's legal counsel,PDF,101 K
Bank of Montreal,Apr 21 2022,19:21:08 ET,Marketing materials - English,PDF,430 K
Bank of Montreal,Apr 21 2022,19:21:08 ET,Marketing materials - French,PDF,660 K
Bank of Montreal,Apr 21 2022,19:21:08 ET,Pricing supplement (specified derivative) - English,PDF,531 K
Bank of Montreal,Apr 21 2022,19:21:08 ET,Pricing supplement (specified derivative) - French,PDF,826 K
Bank of Montreal,Apr 21 2022,19:06:42 ET,Consent letter of issuer's legal counsel,PDF,101 K
Bank of Montreal,Apr 21 2022,19:06:42 ET,Marketing materials - English,PDF,435 K
Bank of Montreal,Apr 21 2022,19:06:42 ET,Marketing materials - French,PDF,588 K
Bank of Montreal,Apr 21 2022,19:06:42 ET,Pricing supplement (specified derivative) - English,PDF,533 K
Bank of Montreal,Apr 21 2022,19:06:42 ET,Pricing supplement (specified derivative) - French,PDF,829 K
Bank of Montreal,Apr 21 2022,18:16:45 ET,Consent letter of issuer's legal counsel,PDF,101 K
Bank of Montreal,Apr 21 2022,18:16:45 ET,Marketing materials - English,PDF,432 K
Bank of Montreal,Apr 21 2022,18:16:45 ET,Marketing materials - French,PDF,591 K
Bank of Montreal,Apr 21 2022,18:16:45 ET,Pricing supplement (specified derivative) - English,PDF,526 K
Bank of Montreal,Apr 21 2022,18:16:45 ET,Pricing supplement (specified derivative) - French,PDF,819 K
Bank of Montreal,Apr 21 2022,18:09:23 ET,Consent letter of issuer's legal counsel,PDF,101 K
Bank of Montreal,Apr 21 2022,18:09:23 ET,Marketing materials - English,PDF,430 K
Bank of Montreal,Apr 21 2022,18:09:23 ET,Marketing materials - French,PDF,661 K
Bank of Montreal,Apr 21 2022,18:09:23 ET,Pricing supplement (specified derivative) - English,PDF,523 K
Bank of Montreal,Apr 21 2022,18:09:23 ET,Pricing supplement (specified derivative) - French,PDF,816 K
Bank of Montreal,Apr 21 2022,17:50:10 ET,Consent letter of issuer's legal counsel,PDF,101 K
Bank of Montreal,Apr 21 2022,17:50:10 ET,Marketing materials - English,PDF,434 K
Bank of Montreal,Apr 21 2022,17:50:10 ET,Marketing materials - French,PDF,660 K
Bank of Montreal,Apr 21 2022,17:50:10 ET,Pricing supplement (specified derivative) - English,PDF,531 K
Bank of Montreal,Apr 21 2022,17:50:10 ET,Pricing supplement (specified derivative) - French,PDF,806 K
Bank of Montreal,Apr 21 2022,17:24:18 ET,Consent letter of issuer's legal counsel,PDF,102 K
Bank of Montreal,Apr 21 2022,17:24:18 ET,Marketing materials - English,PDF,412 K
Bank of Montreal,Apr 21 2022,17:24:18 ET,Marketing materials - French,PDF,554 K
Bank of Montreal,Apr 21 2022,17:24:18 ET,Pricing supplement (specified derivative) - English,PDF,573 K
Bank of Montreal,Apr 21 2022,17:24:18 ET,Pricing supplement (specified derivative) - French,PDF,821 K
Bank of Montreal,Apr 21 2022,16:40:52 ET,Consent letter of issuer's legal counsel,PDF,100 K
Bank of Montreal,Apr 21 2022,16:40:52 ET,Marketing materials - English,PDF,415 K
Bank of Montreal,Apr 21 2022,16:40:52 ET,Pricing supplement (specified derivative) - English,PDF,624 K
Bank of Montreal,Apr 21 2022,16:29:01 ET,Consent letter of issuer's legal counsel,PDF,100 K
Bank of Montreal,Apr 21 2022,16:29:01 ET,Marketing materials - English,PDF,439 K
Bank of Montreal,Apr 21 2022,16:29:01 ET,Pricing supplement (specified derivative) - English,PDF,536 K
"Bank of Nova Scotia, The",Apr 22 2022,15:22:13 ET,Consent letter of issuer's legal counsel,PDF,102 K
"Bank of Nova Scotia, The",Apr 22 2022,15:22:13 ET,Marketing materials - English,PDF,183 K
"Bank of Nova Scotia, The",Apr 22 2022,15:22:13 ET,Pricing supplement (specified derivative) - English,PDF,296 K
"Bank of Nova Scotia, The",Apr 22 2022,15:10:22 ET,Consent letter of issuer's legal counsel,PDF,104 K
"Bank of Nova Scotia, The",Apr 22 2022,15:10:22 ET,Marketing materials - English,PDF,211 K
"Bank of Nova Scotia, The",Apr 22 2022,15:10:22 ET,Pricing supplement (specified derivative) - English,PDF,354 K
"Bank of Nova Scotia, The",Apr 21 2022,16:35:42 ET,Consent letter of issuer's legal counsel,PDF,134 K
"Bank of Nova Scotia, The",Apr 21 2022,16:35:42 ET,Marketing materials - English,PDF,251 K
"Bank of Nova Scotia, The",Apr 21 2022,16:35:42 ET,Marketing materials - French,PDF,330 K
"Bank of Nova Scotia, The",Apr 21 2022,16:35:42 ET,Pricing supplement (specified derivative) - English,PDF,391 K
"Bank of Nova Scotia, The",Apr 21 2022,16:35:42 ET,Pricing supplement (specified derivative) - French,PDF,368 K
"Bank of Nova Scotia, The",Apr 21 2022,16:25:51 ET,Consent letter of issuer's legal counsel,PDF,134 K
"Bank of Nova Scotia, The",Apr 21 2022,16:25:51 ET,Marketing materials - English,PDF,250 K
"Bank of Nova Scotia, The",Apr 21 2022,16:25:51 ET,Marketing materials - French,PDF,342 K
"Bank of Nova Scotia, The",Apr 21 2022,16:25:51 ET,Pricing supplement (specified derivative) - English,PDF,415 K
"Bank of Nova Scotia, The",Apr 21 2022,16:25:51 ET,Pricing supplement (specified derivative) - French,PDF,446 K
"Bank of Nova Scotia, The",Apr 21 2022,16:16:28 ET,Consent letter of issuer's legal counsel,PDF,135 K
"Bank of Nova Scotia, The",Apr 21 2022,16:16:28 ET,Marketing materials - English,PDF,215 K
"Bank of Nova Scotia, The",Apr 21 2022,16:16:28 ET,Marketing materials - French,PDF,286 K
"Bank of Nova Scotia, The",Apr 21 2022,16:16:28 ET,Pricing supplement (specified derivative) - English,PDF,353 K
"Bank of Nova Scotia, The",Apr 21 2022,16:16:28 ET,Pricing supplement (specified derivative) - French,PDF,451 K
Barsele Minerals Corp.,Apr 22 2022,17:31:03 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,98 K
Barsele Minerals Corp.,Apr 22 2022,17:31:03 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,98 K
Barsele Minerals Corp.,Apr 22 2022,17:30:16 ET,MD&A - English,PDF,274 K
Barsele Minerals Corp.,Apr 22 2022,17:29:17 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,153 K
Barsele Minerals Corp.,Apr 22 2022,17:29:17 ET,Audited annual financial statements - English,PDF,487 K
Barsele Minerals Corp.,Apr 22 2022,17:29:17 ET,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,155 K
"Baru Gold Corp. (formerly, East Asia Minerals Corporation)",Apr 22 2022,10:20:11 ET,News release - English,PDF,254 K
Batero Gold Corp.,Apr 22 2022,16:21:19 ET,52-109FV2 - Certification of interim filings - CEO (E),PDF,102 K
Batero Gold Corp.,Apr 22 2022,16:21:19 ET,52-109FV2 - Certification of interim filings - CFO (E),PDF,101 K
Batero Gold Corp.,Apr 22 2022,16:20:15 ET,MD&A - English,PDF,258 K
Batero Gold Corp.,Apr 22 2022,16:18:52 ET,Interim financial statements/report - English,PDF,299 K
BC Moly Ltd.,Apr 22 2022,17:21:22 ET,Report of exempt distribution excluding Schedule 1 of 45-106F1,PDF,242 K
Bear Creek Mining Corporation,Apr 22 2022,10:04:43 ET,News release - English,PDF,60 K
Bear Creek Mining Corporation,Apr 22 2022,09:28:18 ET,Certificate of qualified person (NI 43-101) - English,PDF,101 K
Bear Creek Mining Corporation,Apr 22 2022,09:28:18 ET,Certificate of qualified person (NI 43-101) - English,PDF,91 K
Bear Creek Mining Corporation,Apr 22 2022,09:28:18 ET,Certificate of qualified person (NI 43-101) - English,PDF,102 K
Bear Creek Mining Corporation,Apr 22 2022,09:28:18 ET,Consent of qualified person (NI 43-101) - English,PDF,78 K
Bear Creek Mining Corporation,Apr 22 2022,09:28:18 ET,Consent of qualified person (NI 43-101) - English,PDF,105 K
Bear Creek Mining Corporation,Apr 22 2022,09:28:18 ET,Technical report (NI 43-101) - English,PDF,9025 K
Benchmark Metals Inc.,Apr 22 2022,11:27:06 ET,Notice of the meeting and record date - English,PDF,80 K
Best Capital Bond I Corp.,Apr 22 2022,14:26:44 ET,Report of exempt distribution excluding Schedule 1 of 45-106F1,PDF,7838 K
Big Tree Carbon Inc.,Apr 22 2022,12:34:53 ET,Other securityholders documents - English,PDF,221 K
Biomind Labs Inc. (formerly Crosswinds Holdings Inc.),Apr 22 2022,11:15:16 ET,Notice of the meeting and record date - English,PDF,124 K
Bitterroot Resources Ltd.,Apr 22 2022,18:54:53 ET,News release - English,PDF,66 K
Blue Ribbon Income Fund (formerly Citadel Diversified Investment Trust),Apr 22 2022,16:19:14 ET,News release - English,PDF,162 K
Bluewater Park Apartment Project,Apr 22 2022,16:07:46 ET,Interim financial statements/report - English,PDF,1626 K
Bluewater Park Apartment Project,Apr 22 2022,16:06:54 ET,52-109FV2 - Certification of interim filings - CEO (E),PDF,388 K
Bluewater Park Apartment Project,Apr 22 2022,16:06:54 ET,52-109FV2 - Certification of interim filings - CFO (E),PDF,387 K
Bluewater Park Apartment Project,Apr 22 2022,16:06:22 ET,MD&A - English,PDF,2915 K
Bow Water & Land Trust,Apr 22 2022,12:09:31 ET,Report of exempt distribution excluding Schedule 1 of 45-106F1,PDF,1039 K
BQE Water Inc.,Apr 22 2022,20:02:50 ET,News release - English,PDF,552 K
BQE Water Inc.,Apr 22 2022,17:18:01 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,483 K
BQE Water Inc.,Apr 22 2022,17:18:01 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,479 K
BQE Water Inc.,Apr 22 2022,17:16:59 ET,MD&A - English,PDF,847 K
BQE Water Inc.,Apr 22 2022,17:15:42 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,30 K
BQE Water Inc.,Apr 22 2022,17:15:42 ET,Audited annual financial statements - English,PDF,2324 K
BQE Water Inc.,Apr 22 2022,17:15:42 ET,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,31 K
BQE Water Inc.,Apr 22 2022,17:12:11 ET,News release - English,PDF,903 K
BQE Water Inc.,Apr 22 2022,09:01:52 ET,News release - English,PDF,274 K
Brompton Lifeco Split Corp.,Apr 22 2022,17:31:00 ET,News release - English,PDF,156 K
Brompton Split Banc Corp.,Apr 22 2022,17:32:12 ET,News release - English,PDF,156 K
Brookfield Infrastructure Finance Limited,Apr 21 2022,21:39:10 ET,Marketing materials - English,PDF,142 K
Brookfield Infrastructure Finance Limited,Apr 21 2022,21:39:10 ET,Marketing materials - English,PDF,135 K
Brookfield Infrastructure Finance Limited,Apr 21 2022,21:39:10 ET,Marketing materials - French,PDF,155 K
Brookfield Infrastructure Finance Limited,Apr 21 2022,21:39:10 ET,Marketing materials - French,PDF,178 K
Brookfield Infrastructure Finance Limited,Apr 21 2022,21:39:10 ET,Marketing materials - French,PDF,177 K
Brookfield Infrastructure Finance Limited,Apr 21 2022,21:39:10 ET,Pricing supplement (other than specified derivative) - English,PDF,63 K
Brookfield Infrastructure Finance Limited,Apr 21 2022,21:39:10 ET,Pricing supplement (other than specified derivative) - English,PDF,65 K
Brookfield Infrastructure Finance Limited,Apr 21 2022,21:39:10 ET,Pricing supplement (other than specified derivative) - French,PDF,92 K
Brookfield Infrastructure Finance Limited,Apr 21 2022,21:39:10 ET,Pricing supplement (other than specified derivative) - French,PDF,93 K
Brookfield Infrastructure Finance Limited,Apr 21 2022,21:39:10 ET,Underwriting or agency agreements (or amendment thereto),PDF,228 K
Brookfield Infrastructure Finance Limited,Apr 21 2022,21:19:11 ET,Auditors' consent letter,PDF,111 K
Brookfield Infrastructure Finance Limited,Apr 21 2022,21:19:11 ET,Consent letter of issuer's legal counsel,PDF,96 K
Brookfield Infrastructure Finance Limited,Apr 21 2022,21:19:11 ET,Consent letter of underwriters' legal counsel,PDF,38 K
Brookfield Infrastructure Finance Limited,Apr 21 2022,21:19:11 ET,Prospectus (non pricing) supplement (other than ATM) - English,PDF,220 K
Brookfield Infrastructure Finance Limited,Apr 21 2022,21:19:11 ET,Prospectus (non pricing) supplement (other than ATM) - French,PDF,263 K
Brookfield Infrastructure Finance LLC,Apr 21 2022,21:41:27 ET,Marketing materials - English,PDF,135 K
Brookfield Infrastructure Finance LLC,Apr 21 2022,21:41:27 ET,Marketing materials - English,PDF,142 K
Brookfield Infrastructure Finance LLC,Apr 21 2022,21:41:27 ET,Marketing materials - French,PDF,155 K
Brookfield Infrastructure Finance LLC,Apr 21 2022,21:41:27 ET,Marketing materials - French,PDF,178 K
Brookfield Infrastructure Finance LLC,Apr 21 2022,21:41:27 ET,Marketing materials - French,PDF,177 K
Brookfield Infrastructure Finance LLC,Apr 21 2022,21:41:27 ET,Pricing supplement (other than specified derivative) - English,PDF,65 K
Brookfield Infrastructure Finance LLC,Apr 21 2022,21:41:27 ET,Pricing supplement (other than specified derivative) - English,PDF,63 K
Brookfield Infrastructure Finance LLC,Apr 21 2022,21:41:27 ET,Pricing supplement (other than specified derivative) - French,PDF,93 K
Brookfield Infrastructure Finance LLC,Apr 21 2022,21:41:27 ET,Pricing supplement (other than specified derivative) - French,PDF,92 K
Brookfield Infrastructure Finance LLC,Apr 21 2022,21:41:27 ET,Underwriting or agency agreements (or amendment thereto),PDF,228 K
Brookfield Infrastructure Finance LLC,Apr 21 2022,21:19:54 ET,Auditors' consent letter,PDF,111 K
Brookfield Infrastructure Finance LLC,Apr 21 2022,21:19:54 ET,Consent letter of issuer's legal counsel,PDF,96 K
Brookfield Infrastructure Finance LLC,Apr 21 2022,21:19:54 ET,Consent letter of underwriters' legal counsel,PDF,38 K
Brookfield Infrastructure Finance LLC,Apr 21 2022,21:19:54 ET,Prospectus (non pricing) supplement (other than ATM) - English,PDF,220 K
Brookfield Infrastructure Finance LLC,Apr 21 2022,21:19:54 ET,Prospectus (non pricing) supplement (other than ATM) - French,PDF,263 K
Brookfield Infrastructure Finance ULC,Apr 21 2022,21:43:34 ET,Marketing materials - English,PDF,135 K
Brookfield Infrastructure Finance ULC,Apr 21 2022,21:43:34 ET,Marketing materials - English,PDF,142 K
Brookfield Infrastructure Finance ULC,Apr 21 2022,21:43:34 ET,Marketing materials - French,PDF,155 K
Brookfield Infrastructure Finance ULC,Apr 21 2022,21:43:34 ET,Marketing materials - French,PDF,178 K
Brookfield Infrastructure Finance ULC,Apr 21 2022,21:43:34 ET,Marketing materials - French,PDF,177 K
Brookfield Infrastructure Finance ULC,Apr 21 2022,21:43:34 ET,Pricing supplement (other than specified derivative) - English,PDF,65 K
Brookfield Infrastructure Finance ULC,Apr 21 2022,21:43:34 ET,Pricing supplement (other than specified derivative) - English,PDF,63 K
Brookfield Infrastructure Finance ULC,Apr 21 2022,21:43:34 ET,Pricing supplement (other than specified derivative) - French,PDF,93 K
Brookfield Infrastructure Finance ULC,Apr 21 2022,21:43:34 ET,Pricing supplement (other than specified derivative) - French,PDF,92 K
Brookfield Infrastructure Finance ULC,Apr 21 2022,21:43:34 ET,Underwriting or agency agreements (or amendment thereto),PDF,228 K
Brookfield Infrastructure Finance ULC,Apr 21 2022,21:20:35 ET,Auditors' consent letter,PDF,111 K
Brookfield Infrastructure Finance ULC,Apr 21 2022,21:20:35 ET,Consent letter of issuer's legal counsel,PDF,96 K
Brookfield Infrastructure Finance ULC,Apr 21 2022,21:20:35 ET,Consent letter of underwriters' legal counsel,PDF,38 K
Brookfield Infrastructure Finance ULC,Apr 21 2022,21:20:35 ET,Prospectus (non pricing) supplement (other than ATM) - English,PDF,220 K
Brookfield Infrastructure Finance ULC,Apr 21 2022,21:20:35 ET,Prospectus (non pricing) supplement (other than ATM) - French,PDF,263 K
BRP Inc.,Apr 20 2022,16:38:05 ET,Other,PDF,37 K
Buhler Industries Inc.,Apr 22 2022,16:11:08 ET,Notice of the meeting and record date - English,PDF,314 K
Caliber Minerals Inc.,Apr 22 2022,19:17:06 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,82 K
Caliber Minerals Inc.,Apr 22 2022,19:17:06 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,80 K
Caliber Minerals Inc.,Apr 22 2022,19:16:14 ET,MD&A - English,PDF,271 K
Caliber Minerals Inc.,Apr 22 2022,19:14:36 ET,AB Form 13-501F2 (Class 2 Reporting Issuers - Participation Fee),PDF,115 K
Caliber Minerals Inc.,Apr 22 2022,19:14:36 ET,Audited annual financial statements - English,PDF,1042 K
Caliber Minerals Inc.,Apr 22 2022,19:14:36 ET,ON Form 13-502F2 (Class 2 Reporting Issuers - Participation Fee),PDF,113 K
Calidus Resources Corp.,Apr 22 2022,16:58:32 ET,Other Correspondence,PDF,95 K
Callinex Mines Inc.,Apr 22 2022,08:40:58 ET,News release - English,PDF,52 K
CanadaBis Capital Inc.,Apr 22 2022,11:03:40 ET,Notice of the meeting and record date - English,PDF,12 K
Canada Jetlines Operations Ltd.,Apr 22 2022,18:11:29 ET,News release - English,PDF,450 K
Canada Silver Cobalt Works Inc.,Apr 22 2022,16:29:34 ET,Material change report - English,PDF,117 K
Canadian Credit Card Trust II,Apr 22 2022,10:22:18 ET,Other,PDF,76 K
Canadian Credit Card Trust II,Apr 22 2022,10:22:18 ET,Other,PDF,74 K
Canadian High Income Equity Fund,Apr 22 2022,17:27:36 ET,News release - English,PDF,156 K
Canadian Imperial Bank of Commerce,Apr 21 2022,16:31:18 ET,Marketing materials - English,PDF,133 K
Canadian Imperial Bank of Commerce,Apr 21 2022,16:31:18 ET,Marketing materials - French,PDF,140 K
Canadian Imperial Bank of Commerce,Apr 21 2022,16:31:18 ET,Pricing supplement (specified derivative) - English,PDF,209 K
Canadian Imperial Bank of Commerce,Apr 21 2022,16:31:18 ET,Pricing supplement (specified derivative) - French,PDF,212 K
Canadian Imperial Bank of Commerce,Apr 21 2022,16:28:32 ET,Marketing materials - English,PDF,107 K
Canadian Imperial Bank of Commerce,Apr 21 2022,16:28:32 ET,Marketing materials - French,PDF,113 K
Canadian Imperial Bank of Commerce,Apr 21 2022,16:28:32 ET,Pricing supplement (specified derivative) - English,PDF,176 K
Canadian Imperial Bank of Commerce,Apr 21 2022,16:28:32 ET,Pricing supplement (specified derivative) - French,PDF,153 K
Canadian Imperial Bank of Commerce,Apr 21 2022,16:25:15 ET,Marketing materials - English,PDF,126 K
Canadian Imperial Bank of Commerce,Apr 21 2022,16:25:15 ET,Marketing materials - French,PDF,134 K
Canadian Imperial Bank of Commerce,Apr 21 2022,16:25:15 ET,Pricing supplement (specified derivative) - English,PDF,199 K
Canadian Imperial Bank of Commerce,Apr 21 2022,16:25:15 ET,Pricing supplement (specified derivative) - French,PDF,179 K
Canadian Imperial Bank of Commerce,Apr 21 2022,16:22:07 ET,Marketing materials - English,PDF,108 K
Canadian Imperial Bank of Commerce,Apr 21 2022,16:22:07 ET,Marketing materials - French,PDF,113 K
Canadian Imperial Bank of Commerce,Apr 21 2022,16:22:07 ET,Pricing supplement (specified derivative) - English,PDF,176 K
Canadian Imperial Bank of Commerce,Apr 21 2022,16:22:07 ET,Pricing supplement (specified derivative) - French,PDF,153 K
Canadian Imperial Bank of Commerce,Apr 21 2022,16:19:01 ET,Marketing materials - English,PDF,140 K
Canadian Imperial Bank of Commerce,Apr 21 2022,16:19:01 ET,Marketing materials - French,PDF,170 K
Canadian Imperial Bank of Commerce,Apr 21 2022,16:19:01 ET,Pricing supplement (specified derivative) - English,PDF,183 K
